policy,threshold,total_credits,total_dollars,cheap_n,balanced_n,premium_n,pct_cheap,cheap_credits,balanced_credits,premium_credits,decisions_changed,verdict_agreement_pct,blocker_agreement_pct,waste_records,waste_count,waste_credits,waste_dollars,cost_vs_reference_pct,projected_10k_weekly_dollars
reference,,0.0736866,0.22105980000000003,0,0,30,0,0.0,0.0,0.0736866,0,100.0,100.0,,0,0.0,0.0,100.0,73.68660000000001
adaptive,0.98,0.038613372,0.11584011599999999,4,20,6,13.3,0.000306372,0.0229836,0.015323400000000001,4,90.0,93.3,OPP-001;OPP-011,2,0.0042048,0.0126144,52.4,38.613372
adaptive,0.95,0.036712235999999995,0.11013670799999999,6,18,6,20.0,0.000458436,0.020930399999999995,0.015323400000000001,6,83.3,93.3,OPP-001;OPP-011,2,0.0042048,0.0126144,49.8,36.71223599999999
adaptive,0.9,0.031840535999999996,0.09552160799999998,9,16,5,30.0,0.000692736,0.018715199999999994,0.0124326,9,76.7,86.7,OPP-001;OPP-011,2,0.0042048,0.0126144,43.2,31.840535999999993
